AbsoluteEntry	CountryCode	BankCode	BankName	SwiftNo	IBAN	PostOffice	DefaultBankAccountKey
AbsEntry	CountryCod	BankCode	BankName	SwiftNum	IBAN	PostOffice	DfltActKey
88	EC	0320	COOP. DE A. Y C. CHIBULEO LTDA.			N	
89	EC	0322	COOP.DE AHORRO Y CREDITO HUAYCO PUNGO LTDA.			N	
90	EC	0323	COOP. DE AHORRO Y CREDITO 4 DE OCTUBRE LTDA.			N	
91	EC	0324	COOP AHORRO Y CREDITO SAN ISIDRO LTDA			N	
92	EC	0327	COOP. AHORRO Y CREDITO SEMILLA DEL PROGRESO LTDA.			N	
93	EC	0328	COOP. DE AHORRO Y CREDITO HUAICANA LTDA			N	
94	EC	0329	COOP. DE A. Y C. ESCENCIA INDIGENA LTDA.			N	
95	EC	0331	COOP. DE A. Y C. ABDON CALDERON LTDA.			N	
96	EC	0338	COOPERATIVA DE AHORRO Y CREDITO PUCARA LTDA			N	
97	EC	0341	COOPERATIVA DE AHORRO Y CREDITO MULTIEMPRESARIAL L			N	
98	EC	0342	COOP DE A Y C SAN JUAN DE COTOGCHOA			N	
99	EC	0353	COOPERATIVA DE AHORRO Y CREDITO MINGA LTDA			N	
100	EC	0354	COOP DE AH Y CR ERCO LTDA.			N	
101	EC	0355	COOP DE AHORRO Y CREDITO SANTA ISABEL LTDA			N	
102	EC	0359	COOP. DE A. Y C. LUCHA CAMPESINA LTDA.			N	
103	EC	0368	COOP AH Y CR ANDINA LTDA			N	
104	EC	0372	COOP DE AH Y CR NUEVA ESPERANZA			N	
105	EC	0373	COOP. DE AH Y CR FORTUNA - MIES			N	
106	EC	0383	COOP A Y C PROFUTURO LTDA			N	
107	EC	0395	COOP DE AHORRO Y CREDITO PROVIDA			N	
108	EC	0397	COOPERATIVA DE AHORRO Y CREDITO LAS LAGUNAS-MIESS			N	
109	EC	0404	COOP DE A Y C FUTURO LAMANENSE			N	
110	EC	0405	COOPERATIVA DE AHORO Y CREDITO VISION DE LOS ANDES			N	
111	EC	0406	COOP A Y C UNION EL EJIDO			N	
112	EC	0407	COOP A Y C VILCABAMBA CACVIL			N	
113	EC	0408	COOP A Y C CADECOG GONZANAMA			N	
114	EC	0426	COOP. DE AHORRO Y CREDITO SAN MIGUEL DE PALLATANGA			N	
115	EC	0430	COOP DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA DE			N	
116	EC	0431	COOP DE A Y C SANTA ANA DE NAYON			N	
117	EC	0432	COOP A Y C ESPERANZA Y PROGRESO DEL VALLE			N	
118	EC	0435	COOP DE AH Y CR AGRICOLA JUNIN LTDA			N	
119	EC	0440	COOP. DE AH Y CR 1 DE JULIO			N	
120	EC	0446	COOP.DE AHORRO Y CREDITO MICROEMPRESARIAL SUCRE			N	
121	EC	0457	COOP. DE AH Y CR TEXTIL 14 DE MARZO			N	
122	EC	0461	COOP. DE AH Y CR CAMARA DE COMERCIO RIOBAMBA			N	
123	EC	0467	COOP. DE AH Y CR INDIGENA SAC LTDA			N	
124	EC	0469	COOP. AH Y CR NUEVOS HORIZONTES EL ORO LTDA			N	
125	EC	0470	COOP. DE AH Y CR FOCLA			N	
126	EC	0479	COOP. DE AH Y CR SANTA LUCIA LTDA			N	
127	EC	0480	COOP. DE AH Y CR FORTALEZA			N	
128	EC	0485	COOP. DE AH Y CR MASCOOP			N	
129	EC	0486	COOP. DE AH Y CR CACPE CELICA			N	
130	EC	0487	COOP. DE AH Y CR CACEC LTDA. COTOPAXI			N	
131	EC	0488	COOP. DE AH Y CR MAGISTERIO MANABITA LIMITADA			N	
132	EC	1015	DINERS/VISA INTERDIN/DISCOVER - Transferencias EnL			N	
133	EC	9963	CORPORACION FINANCIERA			N	
134	EC	9964	FINANCIERA FINANCOOP			N	
135	EC	9965	COOP. AHORRO Y CREDITO COOPROGRESO			N	
136	EC	9966	DELBANK S.A.			N	
137	EC	9967	DINERS CLUB			N	
138	EC	9969	COOP. TULCAN			N	
139	EC	9970	COOP. PABLO MUNOZ VEGA			N	
140	EC	9971	COOP. CALCETA LTDA.			N	
141	EC	9972	COOP DE AH Y CR CONSTRUCCION COMERCIO Y PRODUCCION			N	
142	EC	9974	COOP. JUVENTUD ECUATORIANA PROGRESISTA LTDA.			N	
143	EC	9975	COOP. AHO Y CREDITO 23 DE JULIO			N	
144	EC	9976	COOP. AHO Y CREDITO SANTA ANA			N	
145	EC	9977	COOP. ALIANZA DEL VALLE LTDA.			N	
146	EC	9978	COOP AHO Y CREDITO DESARROLLO PUEBLOS			N	
147	EC	9979	COOP. RIOBAMBA			N	
148	EC	9980	COOP. COMERCIO LTDA PORTOVIEJO			N	
149	EC	9981	COOP. CHONE LTDA.			N	
150	EC	9982	COOP. CACPECO			N	
151	EC	9983	COOP. ATUNTAQUI			N	
152	EC	9984	COOP. GUARANDA			N	
153	EC	9985	COOP AHO Y CREDITO SANTA ROSA			N	
154	EC	9986	COOP. AHO Y CREDITO EL SAGRARIO			N	
155	EC	9987	COOP. OSCUS			N	
156	EC	9988	COOP. LA DOLOROSA			N	
157	EC	9989	COOP AHO Y CREDITO  MANUEL GODOY			N	
158	EC	9990	COOP. AHO Y CREDITO NACIONAL			N	
159	EC	9991	COOP AHO Y CREDITO SAN JOSE			N	
160	EC	9992	COOP. AHO Y CREDITO SAN FRANCISCO			N	
161	EC	9993	COOP. AHO Y CREDITO JARDIN AZUAYO			N	
162	EC	9994	COOP. COTOCOLLAO			N	
163	EC	9995	COOP. 29 DE OCTUBRE			N	
164	EC	9997	COOP. PEQ. EMPRESA DE PASTAZA			N	
165	EC	9998	COOP. ANDALUCIA			N	
166	EC	9999	COOP. PREVISION AHORRO Y DESARROLLO			N	
